|      | Id                       | Type                             | Entity                                                                                           | Policy                                                                                                                                                                                                   | IaC                     | Resource Link                                                                                                                                                 |
|   46 | CKV_ANSIBLE_1            | resource                         | [].block[?"ansible.builtin.uri" != null][]                                                       | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   47 | CKV_ANSIBLE_1            | resource                         | [].block[?"uri" != null][]                                                                       | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   48 | CKV_ANSIBLE_1            | resource                         | [].block[].block[?"ansible.builtin.uri" != null][]                                               | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   49 | CKV_ANSIBLE_1            | resource                         | [].block[].block[?"uri" != null][]                                                               | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   50 | CKV_ANSIBLE_1            | resource                         | [].block[].block[].block[?"ansible.builtin.uri" != null][]                                       | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   51 | CKV_ANSIBLE_1            | resource                         | [].block[].block[].block[?"uri" != null][]                                                       | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   52 | CKV_ANSIBLE_1            | resource                         | [].tasks[?"ansible.builtin.uri" != null][]                                                       | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   53 | CKV_ANSIBLE_1            | resource                         | [].tasks[?"uri" != null][]                                                                       | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   54 | CKV_ANSIBLE_1            | resource                         | [].tasks[].block[?"ansible.builtin.uri" != null][]                                               | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   55 | CKV_ANSIBLE_1            | resource                         | [].tasks[].block[?"uri" != null][]                                                               | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   56 | CKV_ANSIBLE_1            | resource                         | [].tasks[].block[].block[?"ansible.builtin.uri" != null][]                                       | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   57 | CKV_ANSIBLE_1            | resource                         | [].tasks[].block[].block[?"uri" != null][]                                                       | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   58 | CKV_ANSIBLE_1            | resource                         | [].tasks[].block[].block[].block[?"ansible.builtin.uri" != null][]                               | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   59 | CKV_ANSIBLE_1            | resource                         | [].tasks[].block[].block[].block[?"uri" != null][]                                               | Ensure that certificate validation isn't disabled with uri                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/UriValidateCerts.py                                                     |
|   60 | CKV_ANSIBLE_2            | resource                         | [?"ansible.builtin.get_url" != null][]                                                           | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   61 | CKV_ANSIBLE_2            | resource                         | [?"get_url" != null][]                                                                           | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   62 | CKV_ANSIBLE_2            | resource                         | [].block[?"ansible.builtin.get_url" != null][]                                                   | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   63 | CKV_ANSIBLE_2            | resource                         | [].block[?"get_url" != null][]                                                                   | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   64 | CKV_ANSIBLE_2            | resource                         | [].block[].block[?"ansible.builtin.get_url" != null][]                                           | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   65 | CKV_ANSIBLE_2            | resource                         | [].block[].block[?"get_url" != null][]                                                           | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   66 | CKV_ANSIBLE_2            | resource                         | [].block[].block[].block[?"ansible.builtin.get_url" != null][]                                   | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   67 | CKV_ANSIBLE_2            | resource                         | [].block[].block[].block[?"get_url" != null][]                                                   | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   68 | CKV_ANSIBLE_2            | resource                         | [].tasks[?"ansible.builtin.get_url" != null][]                                                   | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   69 | CKV_ANSIBLE_2            | resource                         | [].tasks[?"get_url" != null][]                                                                   | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   70 | CKV_ANSIBLE_2            | resource                         | [].tasks[].block[?"ansible.builtin.get_url" != null][]                                           | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   71 | CKV_ANSIBLE_2            | resource                         | [].tasks[].block[?"get_url" != null][]                                                           | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   72 | CKV_ANSIBLE_2            | resource                         | [].tasks[].block[].block[?"ansible.builtin.get_url" != null][]                                   | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   73 | CKV_ANSIBLE_2            | resource                         | [].tasks[].block[].block[?"get_url" != null][]                                                   | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   74 | CKV_ANSIBLE_2            | resource                         | [].tasks[].block[].block[].block[?"ansible.builtin.get_url" != null][]                           | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   75 | CKV_ANSIBLE_2            | resource                         | [].tasks[].block[].block[].block[?"get_url" != null][]                                           | Ensure that certificate validation isn't disabled with get_url                                                                                                                                           | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py                                                  |
|   76 | CKV_ANSIBLE_3            | resource                         | [?"ansible.builtin.yum" != null][]                                                               | Ensure that certificate validation isn't disabled with yum                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py                                                     |
|   77 | CKV_ANSIBLE_3            | resource                         | [?"yum" != null][]                                                                               | Ensure that certificate validation isn't disabled with yum                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py                                                     |
|   78 | CKV_ANSIBLE_3            | resource                         | [].block[?"ansible.builtin.yum" != null][]                                                       | Ensure that certificate validation isn't disabled with yum                                                                                                                                               | Ansible                 | https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py                                                     |
